passageId,gradeLevel,title,topicDomain,ruleId,result,severity,clusterId,score,evidence,notes
pssa_psg_g6_tranche1_heat_map,6,Mapping the Hot Spots,school/community,PSSA_PASSAGE_CONCRETENESS,PASS,INFO,,0.8931,concrete=first|warm|friday|rivera|science|club|carried|clipboards|thermometers|large|onto|school|grounds|students|heard|cities|warmer|nearby|rural|areas; generic=paper|question|simple|team|another|student|afternoon|actually|final|problem|instead|evidence|showed|design|people|careful|plan,Concrete topic detail ratio passes calibrated threshold.
pssa_psg_g6_tranche1_seed_library,6,The Seed Library,science/nature,PSSA_PASSAGE_CONCRETENESS,PASS,INFO,,0.908,concrete=wooden|cabinet|entrance|public|library|looks|ordinary|visitors|open|narrow|drawers|index|cards|drawers|hold|envelopes|labeled|names|like|lemon; generic=instead|began|saved|named|community|place|information|wrote|simple|another|explained|student|compared|questions|begin|grows,Concrete topic detail ratio passes calibrated threshold.
pssa_psg_g6_tranche1_long_way,6,The Long Way Around,literary fiction,PSSA_PASSAGE_CONCRETENESS,PASS,INFO,,0.9657,concrete=tessa|orange|detour|sign|corner|groaned|sidewalk|along|cedar|street|closed|meant|take|long|around|park|reach|center|model|bridge; generic=community|route|route|showed|perfect|design,Concrete topic detail ratio passes calibrated threshold.
pssa_psg_g6_the_map_in_the_station,6,The Map in the Station 6,history/social studies,PSSA_PASSAGE_CONCRETENESS,FAIL,BLOCKER,,0.2619,concrete=sixth-period|sounded|neighbors|preserve|transit|students|around|first|scattered|interviews|noticed|town|helped|suggested|possible|strongest|came|checked|during|different; generic=research|team|began|question|simple|teacher|asked|avoid|guesses|collect|details|another|group|check|monday|afternoon|notebooks|shared|chart|route,Passage is dominated by generic process vocabulary and lacks enough concrete topic detail.
pssa_psg_g6_the_mural_plan,6,The Mural Plan 6,arts/culture,PSSA_PASSAGE_CONCRETENESS,FAIL,BLOCKER,,0.2749,concrete=sixth-period|sounded|plans|hallway|mural|local|stories|students|around|first|scattered|sketch|revisions|noticed|symbols|helped|suggested|possible|strongest|came; generic=research|team|began|question|simple|class|teacher|asked|avoid|guesses|collect|details|another|group|check|monday|afternoon|notebooks|shared|chart,Passage is dominated by generic process vocabulary and lacks enough concrete topic detail.
pssa_psg_g7_creek_watchers,7,Creek Watchers 7,science/nature,PSSA_PASSAGE_CONCRETENESS,FAIL,BLOCKER,,0.2907,concrete=sixth-period|sounded|students|test|stream|water|heavy|rain|students|around|first|scattered|clear|measurements|noticed|nearby|plant|growth|helped|suggested; generic=research|team|began|question|simple|teacher|asked|avoid|guesses|collect|details|another|group|check|monday|afternoon|notebooks|shared|chart|route,Passage is dominated by generic process vocabulary and lacks enough concrete topic detail.
pssa_psg_g7_the_map_in_the_station,7,The Map in the Station 7,history/social studies,PSSA_PASSAGE_CONCRETENESS,FAIL,BLOCKER,,0.2619,concrete=sixth-period|sounded|neighbors|preserve|transit|students|around|first|scattered|interviews|noticed|town|helped|suggested|possible|strongest|came|checked|during|different; generic=research|team|began|question|simple|teacher|asked|avoid|guesses|collect|details|another|group|check|monday|afternoon|notebooks|shared|chart|route,Passage is dominated by generic process vocabulary and lacks enough concrete topic detail.
pssa_psg_g7_a_cooler_lunch_line,7,A Cooler Lunch Line 7,school/community,PSSA_PASSAGE_CONCRETENESS,FAIL,BLOCKER,,0.2706,concrete=sixth-period|sounded|students|redesign|crowded|lunch|routine|students|around|first|scattered|timed|noticed|responsibilities|helped|suggested|possible|strongest|came|checked; generic=research|team|began|question|simple|teacher|asked|avoid|guesses|collect|details|another|group|check|monday|afternoon|notebooks|shared|chart|route,Passage is dominated by generic process vocabulary and lacks enough concrete topic detail.
pssa_psg_g7_the_mural_plan,7,The Mural Plan 7,arts/culture,PSSA_PASSAGE_CONCRETENESS,FAIL,BLOCKER,,0.2749,concrete=sixth-period|sounded|plans|hallway|mural|local|stories|students|around|first|scattered|sketch|revisions|noticed|symbols|helped|suggested|possible|strongest|came; generic=research|team|began|question|simple|class|teacher|asked|avoid|guesses|collect|details|another|group|check|monday|afternoon|notebooks|shared|chart,Passage is dominated by generic process vocabulary and lacks enough concrete topic detail.
pssa_psg_g7_the_cart_that_would_not_turn,7,The Cart That Would Not Turn 7,everyday problem-solving,PSSA_PASSAGE_CONCRETENESS,FAIL,BLOCKER,,0.2722,concrete=sixth-period|sounded|improves|supply|cart|students|around|first|scattered|wheel|tests|noticed|practical|adjustments|helped|suggested|possible|strongest|came|checked; generic=research|team|began|question|simple|team|teacher|asked|avoid|guesses|collect|details|another|group|check|monday|afternoon|notebooks|shared|chart,Passage is dominated by generic process vocabulary and lacks enough concrete topic detail.
pssa_psg_g8_creek_watchers,8,Creek Watchers 8,science/nature,PSSA_PASSAGE_CONCRETENESS,FAIL,BLOCKER,,0.2907,concrete=sixth-period|sounded|students|test|stream|water|heavy|rain|students|around|first|scattered|clear|measurements|noticed|nearby|plant|growth|helped|suggested; generic=research|team|began|question|simple|teacher|asked|avoid|guesses|collect|details|another|group|check|monday|afternoon|notebooks|shared|chart|route,Passage is dominated by generic process vocabulary and lacks enough concrete topic detail.
pssa_psg_g8_the_map_in_the_station,8,The Map in the Station 8,history/social studies,PSSA_PASSAGE_CONCRETENESS,FAIL,BLOCKER,,0.2619,concrete=sixth-period|sounded|neighbors|preserve|transit|students|around|first|scattered|interviews|noticed|town|helped|suggested|possible|strongest|came|checked|during|different; generic=research|team|began|question|simple|teacher|asked|avoid|guesses|collect|details|another|group|check|monday|afternoon|notebooks|shared|chart|route,Passage is dominated by generic process vocabulary and lacks enough concrete topic detail.
pssa_psg_g8_a_cooler_lunch_line,8,A Cooler Lunch Line 8,school/community,PSSA_PASSAGE_CONCRETENESS,FAIL,BLOCKER,,0.2706,concrete=sixth-period|sounded|students|redesign|crowded|lunch|routine|students|around|first|scattered|timed|noticed|responsibilities|helped|suggested|possible|strongest|came|checked; generic=research|team|began|question|simple|teacher|asked|avoid|guesses|collect|details|another|group|check|monday|afternoon|notebooks|shared|chart|route,Passage is dominated by generic process vocabulary and lacks enough concrete topic detail.
pssa_psg_g8_the_mural_plan,8,The Mural Plan 8,arts/culture,PSSA_PASSAGE_CONCRETENESS,FAIL,BLOCKER,,0.2749,concrete=sixth-period|sounded|plans|hallway|mural|local|stories|students|around|first|scattered|sketch|revisions|noticed|symbols|helped|suggested|possible|strongest|came; generic=research|team|began|question|simple|class|teacher|asked|avoid|guesses|collect|details|another|group|check|monday|afternoon|notebooks|shared|chart,Passage is dominated by generic process vocabulary and lacks enough concrete topic detail.
pssa_psg_g8_the_cart_that_would_not_turn,8,The Cart That Would Not Turn 8,everyday problem-solving,PSSA_PASSAGE_CONCRETENESS,FAIL,BLOCKER,,0.2722,concrete=sixth-period|sounded|improves|supply|cart|students|around|first|scattered|wheel|tests|noticed|practical|adjustments|helped|suggested|possible|strongest|came|checked; generic=research|team|began|question|simple|team|teacher|asked|avoid|guesses|collect|details|another|group|check|monday|afternoon|notebooks|shared|chart,Passage is dominated by generic process vocabulary and lacks enough concrete topic detail.
