itemId,passageId,gradeLevel,eligibleContent,ruleId,result,severity,evidence,failedChoiceIndices,notes,lessonId,sourceId
"ded16ab08a23dc9a:markdown:10","e792f1aa7f169d31","3","CC.1.2.3.A","PSSA_MCQ_DISTRACTOR_ROLE_REQUIRED","FAIL","BLOCKER","invalid distractorRole/isCorrect pairing","[0,2,3,4,5,6]","Distractors need a valid role; the correct choice must have distractorRole null.","ded16ab08a23dc9a","archive-readable-v2-samples"
"ded16ab08a23dc9a:markdown:4","e792f1aa7f169d31","3","CC.1.2.3.A","PSSA_DUPLICATE_ITEM_WITH_REORDERED_CHOICES","FAIL","BLOCKER","e792f1aa7f169d31::what is the main idea of the passage about rainforests::rainforests are home to many species|rainforests are home to many species this is a supporting detail not the main idea|rainforests are important to the earth s ecosystem|rainforests produce oxygen|rainforests produce oxygen this is a supporting detail not the main idea|rainforests provide resources|rainforests provide resources this is a supporting detail not the main idea","[]","Duplicate stem and normalized choice set found for the same passage, ignoring eligibleContent.","ded16ab08a23dc9a","archive-readable-v2-samples"
"ded16ab08a23dc9a:markdown:10","e792f1aa7f169d31","3","CC.1.2.3.A","PSSA_DUPLICATE_ITEM_WITH_REORDERED_CHOICES","FAIL","BLOCKER","e792f1aa7f169d31::what is the main idea of the passage about rainforests::rainforests are home to many species|rainforests are home to many species this is a supporting detail not the main idea|rainforests are important to the earth s ecosystem|rainforests produce oxygen|rainforests produce oxygen this is a supporting detail not the main idea|rainforests provide resources|rainforests provide resources this is a supporting detail not the main idea","[]","Duplicate stem and normalized choice set found for the same passage, ignoring eligibleContent.","ded16ab08a23dc9a","archive-readable-v2-samples"
"1bb97100669bfab1:markdown:1","614e63c0dbacfaa7","4","CC.1.3.4.C","PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES","FAIL","BLOCKER","concreteChoices=1/4","[0,1,2,3,4,5]","Each choice needs at least two passage-specific content words, and at least three choices need concrete passage details.","1bb97100669bfab1","archive-readable-v2-samples"
"1bb97100669bfab1:markdown:1","614e63c0dbacfaa7","4","CC.1.3.4.C","PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED","FAIL","BLOCKER","missing rationale/evidenceLinks","[0,1,2,3,4,5,6]","Each structured choice needs a rationale and at least one evidence link.","1bb97100669bfab1","archive-readable-v2-samples"
"1bb97100669bfab1:markdown:1","614e63c0dbacfaa7","4","CC.1.3.4.C","PSSA_MCQ_DISTRACTOR_ROLE_REQUIRED","FAIL","BLOCKER","invalid distractorRole/isCorrect pairing","[0,2,3,4,5,6]","Distractors need a valid role; the correct choice must have distractorRole null.","1bb97100669bfab1","archive-readable-v2-samples"
"1bb97100669bfab1:markdown:4","57bc8bed5dbb1ea5","4","CC.1.3.4.C","PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES","FAIL","BLOCKER","concreteChoices=3/4","[0,1,2,3]","Each choice needs at least two passage-specific content words, and at least three choices need concrete passage details.","1bb97100669bfab1","archive-readable-v2-samples"
"1bb97100669bfab1:markdown:4","57bc8bed5dbb1ea5","4","CC.1.3.4.C","PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED","FAIL","BLOCKER","missing rationale/evidenceLinks","[0,1,2,3,4,5,6]","Each structured choice needs a rationale and at least one evidence link.","1bb97100669bfab1","archive-readable-v2-samples"
"1bb97100669bfab1:markdown:4","57bc8bed5dbb1ea5","4","CC.1.3.4.C","PSSA_MCQ_DISTRACTOR_ROLE_REQUIRED","FAIL","BLOCKER","invalid distractorRole/isCorrect pairing","[0,2,3,4,5,6]","Distractors need a valid role; the correct choice must have distractorRole null.","1bb97100669bfab1","archive-readable-v2-samples"
"1bb97100669bfab1:markdown:8","cb80dfef055f5eed","4","CC.1.3.4.C","PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES","FAIL","BLOCKER","concreteChoices=3/4","[0,1,2,3]","Each choice needs at least two passage-specific content words, and at least three choices need concrete passage details.","1bb97100669bfab1","archive-readable-v2-samples"
"1bb97100669bfab1:markdown:8","cb80dfef055f5eed","4","CC.1.3.4.C","PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED","FAIL","BLOCKER","missing rationale/evidenceLinks","[0,1,2,3,4,5,6]","Each structured choice needs a rationale and at least one evidence link.","1bb97100669bfab1","archive-readable-v2-samples"
"1bb97100669bfab1:markdown:8","cb80dfef055f5eed","4","CC.1.3.4.C","PSSA_MCQ_DISTRACTOR_ROLE_REQUIRED","FAIL","BLOCKER","invalid distractorRole/isCorrect pairing","[0,2,3,4,5,6]","Distractors need a valid role; the correct choice must have distractorRole null.","1bb97100669bfab1","archive-readable-v2-samples"
"1bb97100669bfab1:markdown:10","8fec0a0ca25a14fd","4","CC.1.3.4.C","PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES","FAIL","BLOCKER","concreteChoices=1/4","[0,1,2,3,4,5]","Each choice needs at least two passage-specific content words, and at least three choices need concrete passage details.","1bb97100669bfab1","archive-readable-v2-samples"
"1bb97100669bfab1:markdown:10","8fec0a0ca25a14fd","4","CC.1.3.4.C","PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED","FAIL","BLOCKER","missing rationale/evidenceLinks","[0,1,2,3,4,5,6]","Each structured choice needs a rationale and at least one evidence link.","1bb97100669bfab1","archive-readable-v2-samples"
"1bb97100669bfab1:markdown:10","8fec0a0ca25a14fd","4","CC.1.3.4.C","PSSA_MCQ_DISTRACTOR_ROLE_REQUIRED","FAIL","BLOCKER","invalid distractorRole/isCorrect pairing","[0,2,3,4,5,6]","Distractors need a valid role; the correct choice must have distractorRole null.","1bb97100669bfab1","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:1","c62751841639bb11","5","CC.1.2.5.E","PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES","FAIL","BLOCKER","concreteChoices=0/4","[0,1,2,3,4,5,6]","Each choice needs at least two passage-specific content words, and at least three choices need concrete passage details.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:1","c62751841639bb11","5","CC.1.2.5.E","PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED","FAIL","BLOCKER","missing rationale/evidenceLinks","[0,1,2,3,4,5,6]","Each structured choice needs a rationale and at least one evidence link.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:1","c62751841639bb11","5","CC.1.2.5.E","PSSA_MCQ_DISTRACTOR_ROLE_REQUIRED","FAIL","BLOCKER","invalid distractorRole/isCorrect pairing","[0,2,3,4,5,6]","Distractors need a valid role; the correct choice must have distractorRole null.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:4","b7bac5cb344c9336","5","CC.1.2.5.E","PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES","FAIL","BLOCKER","concreteChoices=0/4","[0,1,2,3,4,5,6]","Each choice needs at least two passage-specific content words, and at least three choices need concrete passage details.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:4","b7bac5cb344c9336","5","CC.1.2.5.E","PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED","FAIL","BLOCKER","missing rationale/evidenceLinks","[0,1,2,3,4,5,6]","Each structured choice needs a rationale and at least one evidence link.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:4","b7bac5cb344c9336","5","CC.1.2.5.E","PSSA_MCQ_DISTRACTOR_ROLE_REQUIRED","FAIL","BLOCKER","invalid distractorRole/isCorrect pairing","[0,1,2,4,5,6]","Distractors need a valid role; the correct choice must have distractorRole null.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:8","085b8daacf61a968","5","CC.1.2.5.E","PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES","FAIL","BLOCKER","concreteChoices=0/4","[0,1,2,3,4,5,6]","Each choice needs at least two passage-specific content words, and at least three choices need concrete passage details.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:8","085b8daacf61a968","5","CC.1.2.5.E","PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED","FAIL","BLOCKER","missing rationale/evidenceLinks","[0,1,2,3,4,5,6]","Each structured choice needs a rationale and at least one evidence link.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:8","085b8daacf61a968","5","CC.1.2.5.E","PSSA_MCQ_DISTRACTOR_ROLE_REQUIRED","FAIL","BLOCKER","invalid distractorRole/isCorrect pairing","[0,1,2,4,5,6]","Distractors need a valid role; the correct choice must have distractorRole null.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:10","e9e91a028ef0245a","5","CC.1.2.5.E","PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES","FAIL","BLOCKER","concreteChoices=0/4","[0,1,2,3,4,5,6]","Each choice needs at least two passage-specific content words, and at least three choices need concrete passage details.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:10","e9e91a028ef0245a","5","CC.1.2.5.E","PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED","FAIL","BLOCKER","missing rationale/evidenceLinks","[0,1,2,3,4,5,6]","Each structured choice needs a rationale and at least one evidence link.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:10","e9e91a028ef0245a","5","CC.1.2.5.E","PSSA_MCQ_DISTRACTOR_ROLE_REQUIRED","FAIL","BLOCKER","invalid distractorRole/isCorrect pairing","[1,2,3,4,5,6]","Distractors need a valid role; the correct choice must have distractorRole null.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:1","c62751841639bb11","5","CC.1.2.5.E","PSSA_MCQ_TEMPLATE_LANGUAGE_REUSE","FAIL","BLOCKER","choice:sequence chronological order","[0]","choice template reused across 3 passage-linked reading MCQs.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:4","b7bac5cb344c9336","5","CC.1.2.5.E","PSSA_MCQ_TEMPLATE_LANGUAGE_REUSE","FAIL","BLOCKER","choice:sequence chronological order","[0]","choice template reused across 3 passage-linked reading MCQs.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:8","085b8daacf61a968","5","CC.1.2.5.E","PSSA_MCQ_TEMPLATE_LANGUAGE_REUSE","FAIL","BLOCKER","choice:sequence chronological order","[0]","choice template reused across 3 passage-linked reading MCQs.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:1","c62751841639bb11","5","CC.1.2.5.E","PSSA_MCQ_TEMPLATE_LANGUAGE_REUSE","FAIL","BLOCKER","choice:compare and contrast","[2]","choice template reused across 4 passage-linked reading MCQs.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:4","b7bac5cb344c9336","5","CC.1.2.5.E","PSSA_MCQ_TEMPLATE_LANGUAGE_REUSE","FAIL","BLOCKER","choice:compare and contrast","[2]","choice template reused across 4 passage-linked reading MCQs.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:8","085b8daacf61a968","5","CC.1.2.5.E","PSSA_MCQ_TEMPLATE_LANGUAGE_REUSE","FAIL","BLOCKER","choice:compare and contrast","[2]","choice template reused across 4 passage-linked reading MCQs.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:10","e9e91a028ef0245a","5","CC.1.2.5.E","PSSA_MCQ_TEMPLATE_LANGUAGE_REUSE","FAIL","BLOCKER","choice:compare and contrast","[2]","choice template reused across 4 passage-linked reading MCQs.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:1","c62751841639bb11","5","CC.1.2.5.E","PSSA_MCQ_TEMPLATE_LANGUAGE_REUSE","FAIL","BLOCKER","choice:compare and contrast this choice is incorrect because the passage does not compare two things","[5]","choice template reused across 4 passage-linked reading MCQs.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:4","b7bac5cb344c9336","5","CC.1.2.5.E","PSSA_MCQ_TEMPLATE_LANGUAGE_REUSE","FAIL","BLOCKER","choice:compare and contrast this choice is incorrect because the passage does not compare two things","[6]","choice template reused across 4 passage-linked reading MCQs.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:8","085b8daacf61a968","5","CC.1.2.5.E","PSSA_MCQ_TEMPLATE_LANGUAGE_REUSE","FAIL","BLOCKER","choice:compare and contrast this choice is incorrect because the passage does not compare two things","[6]","choice template reused across 4 passage-linked reading MCQs.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:10","e9e91a028ef0245a","5","CC.1.2.5.E","PSSA_MCQ_TEMPLATE_LANGUAGE_REUSE","FAIL","BLOCKER","choice:compare and contrast this choice is incorrect because the passage does not compare two things","[5]","choice template reused across 4 passage-linked reading MCQs.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:4","b7bac5cb344c9336","5","CC.1.2.5.E","PSSA_MCQ_TEMPLATE_LANGUAGE_REUSE","FAIL","BLOCKER","choice:cause and effect","[1]","choice template reused across 3 passage-linked reading MCQs.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:8","085b8daacf61a968","5","CC.1.2.5.E","PSSA_MCQ_TEMPLATE_LANGUAGE_REUSE","FAIL","BLOCKER","choice:cause and effect","[1]","choice template reused across 3 passage-linked reading MCQs.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:10","e9e91a028ef0245a","5","CC.1.2.5.E","PSSA_MCQ_TEMPLATE_LANGUAGE_REUSE","FAIL","BLOCKER","choice:cause and effect","[1]","choice template reused across 3 passage-linked reading MCQs.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:4","b7bac5cb344c9336","5","CC.1.2.5.E","PSSA_MCQ_TEMPLATE_LANGUAGE_REUSE","FAIL","BLOCKER","choice:cause and effect this choice is incorrect because the passage does not show a cause and its effects","[5]","choice template reused across 3 passage-linked reading MCQs.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:8","085b8daacf61a968","5","CC.1.2.5.E","PSSA_MCQ_TEMPLATE_LANGUAGE_REUSE","FAIL","BLOCKER","choice:cause and effect this choice is incorrect because the passage does not show a cause and its effects","[5]","choice template reused across 3 passage-linked reading MCQs.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:10","e9e91a028ef0245a","5","CC.1.2.5.E","PSSA_MCQ_TEMPLATE_LANGUAGE_REUSE","FAIL","BLOCKER","choice:cause and effect this choice is incorrect because the passage does not show a cause and its effects","[4]","choice template reused across 3 passage-linked reading MCQs.","ef09174d99e615f9","archive-readable-v2-samples"
"33e15019de7f5340:markdown:4","4ad56f5bcfc547e5","6","CC.1.3.6.B","PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED","FAIL","BLOCKER","missing rationale/evidenceLinks","[0,1,2,3,4,5,6]","Each structured choice needs a rationale and at least one evidence link.","33e15019de7f5340","archive-readable-v2-samples"
"33e15019de7f5340:markdown:4","4ad56f5bcfc547e5","6","CC.1.3.6.B","PSSA_MCQ_DISTRACTOR_ROLE_REQUIRED","FAIL","BLOCKER","invalid distractorRole/isCorrect pairing","[0,2,3,4,5,6]","Distractors need a valid role; the correct choice must have distractorRole null.","33e15019de7f5340","archive-readable-v2-samples"
"33e15019de7f5340:markdown:7","0a06319e95708335","6","CC.1.3.6.B","PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES","FAIL","BLOCKER","concreteChoices=4/4","[0,1,3]","Each choice needs at least two passage-specific content words, and at least three choices need concrete passage details.","33e15019de7f5340","archive-readable-v2-samples"
"33e15019de7f5340:markdown:7","0a06319e95708335","6","CC.1.3.6.B","PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED","FAIL","BLOCKER","missing rationale/evidenceLinks","[0,1,2,3,4,5,6]","Each structured choice needs a rationale and at least one evidence link.","33e15019de7f5340","archive-readable-v2-samples"
"33e15019de7f5340:markdown:7","0a06319e95708335","6","CC.1.3.6.B","PSSA_MCQ_DISTRACTOR_ROLE_REQUIRED","FAIL","BLOCKER","invalid distractorRole/isCorrect pairing","[0,1,3,4,5,6]","Distractors need a valid role; the correct choice must have distractorRole null.","33e15019de7f5340","archive-readable-v2-samples"
"33e15019de7f5340:markdown:8","cb4f1dafb40b5bcc","6","CC.1.3.6.B","PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES","FAIL","BLOCKER","concreteChoices=1/4","[0,1,2,3,4,6]","Each choice needs at least two passage-specific content words, and at least three choices need concrete passage details.","33e15019de7f5340","archive-readable-v2-samples"
"33e15019de7f5340:markdown:8","cb4f1dafb40b5bcc","6","CC.1.3.6.B","PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED","FAIL","BLOCKER","missing rationale/evidenceLinks","[0,1,2,3,4,5,6]","Each structured choice needs a rationale and at least one evidence link.","33e15019de7f5340","archive-readable-v2-samples"
"33e15019de7f5340:markdown:8","cb4f1dafb40b5bcc","6","CC.1.3.6.B","PSSA_MCQ_DISTRACTOR_ROLE_REQUIRED","FAIL","BLOCKER","invalid distractorRole/isCorrect pairing","[0,1,3,4,5,6]","Distractors need a valid role; the correct choice must have distractorRole null.","33e15019de7f5340","archive-readable-v2-samples"
"33e15019de7f5340:markdown:10","d9d4cba3236e5df9","6","CC.1.3.6.B","PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES","FAIL","BLOCKER","concreteChoices=6/4","[1]","Each choice needs at least two passage-specific content words, and at least three choices need concrete passage details.","33e15019de7f5340","archive-readable-v2-samples"
"33e15019de7f5340:markdown:10","d9d4cba3236e5df9","6","CC.1.3.6.B","PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED","FAIL","BLOCKER","missing rationale/evidenceLinks","[0,1,2,3,4,5,6]","Each structured choice needs a rationale and at least one evidence link.","33e15019de7f5340","archive-readable-v2-samples"
"33e15019de7f5340:markdown:10","d9d4cba3236e5df9","6","CC.1.3.6.B","PSSA_MCQ_DISTRACTOR_ROLE_REQUIRED","FAIL","BLOCKER","invalid distractorRole/isCorrect pairing","[0,1,3,4,5,6]","Distractors need a valid role; the correct choice must have distractorRole null.","33e15019de7f5340","archive-readable-v2-samples"
"33e15019de7f5340:markdown:12","75d9c75287192541","6","CC.1.3.6.B","PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED","FAIL","BLOCKER","missing rationale/evidenceLinks","[0,1,2,3,4,5,6]","Each structured choice needs a rationale and at least one evidence link.","33e15019de7f5340","archive-readable-v2-samples"
"33e15019de7f5340:markdown:12","75d9c75287192541","6","CC.1.3.6.B","PSSA_MCQ_DISTRACTOR_ROLE_REQUIRED","FAIL","BLOCKER","invalid distractorRole/isCorrect pairing","[0,2,3,4,5,6]","Distractors need a valid role; the correct choice must have distractorRole null.","33e15019de7f5340","archive-readable-v2-samples"
"852f9e9d0f426ef9:markdown:1","44653b2e2fc67df5","8","CC.1.3.8.A","PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES","FAIL","BLOCKER","concreteChoices=4/4","[0,1,3]","Each choice needs at least two passage-specific content words, and at least three choices need concrete passage details.","852f9e9d0f426ef9","archive-readable-v2-samples"
"852f9e9d0f426ef9:markdown:1","44653b2e2fc67df5","8","CC.1.3.8.A","PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED","FAIL","BLOCKER","missing rationale/evidenceLinks","[0,1,2,3,4,5,6]","Each structured choice needs a rationale and at least one evidence link.","852f9e9d0f426ef9","archive-readable-v2-samples"
"852f9e9d0f426ef9:markdown:1","44653b2e2fc67df5","8","CC.1.3.8.A","PSSA_MCQ_DISTRACTOR_ROLE_REQUIRED","FAIL","BLOCKER","invalid distractorRole/isCorrect pairing","[0,2,3,4,5,6]","Distractors need a valid role; the correct choice must have distractorRole null.","852f9e9d0f426ef9","archive-readable-v2-samples"
"852f9e9d0f426ef9:markdown:4","9ae79966e5661c92","8","CC.1.3.8.A","PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES","FAIL","BLOCKER","concreteChoices=3/4","[0,1,3,4]","Each choice needs at least two passage-specific content words, and at least three choices need concrete passage details.","852f9e9d0f426ef9","archive-readable-v2-samples"
"852f9e9d0f426ef9:markdown:4","9ae79966e5661c92","8","CC.1.3.8.A","PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED","FAIL","BLOCKER","missing rationale/evidenceLinks","[0,1,2,3,4,5,6]","Each structured choice needs a rationale and at least one evidence link.","852f9e9d0f426ef9","archive-readable-v2-samples"
"852f9e9d0f426ef9:markdown:4","9ae79966e5661c92","8","CC.1.3.8.A","PSSA_MCQ_DISTRACTOR_ROLE_REQUIRED","FAIL","BLOCKER","invalid distractorRole/isCorrect pairing","[0,2,3,4,5,6]","Distractors need a valid role; the correct choice must have distractorRole null.","852f9e9d0f426ef9","archive-readable-v2-samples"
"852f9e9d0f426ef9:markdown:7","b0596f88487c5754","8","CC.1.3.8.A","PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES","FAIL","BLOCKER","concreteChoices=2/4","[0,1,2,3,4]","Each choice needs at least two passage-specific content words, and at least three choices need concrete passage details.","852f9e9d0f426ef9","archive-readable-v2-samples"
"852f9e9d0f426ef9:markdown:7","b0596f88487c5754","8","CC.1.3.8.A","PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED","FAIL","BLOCKER","missing rationale/evidenceLinks","[0,1,2,3,4,5,6]","Each structured choice needs a rationale and at least one evidence link.","852f9e9d0f426ef9","archive-readable-v2-samples"
"852f9e9d0f426ef9:markdown:7","b0596f88487c5754","8","CC.1.3.8.A","PSSA_MCQ_DISTRACTOR_ROLE_REQUIRED","FAIL","BLOCKER","invalid distractorRole/isCorrect pairing","[0,1,2,4,5,6]","Distractors need a valid role; the correct choice must have distractorRole null.","852f9e9d0f426ef9","archive-readable-v2-samples"
"852f9e9d0f426ef9:markdown:8","bd09487f5bd7f8d6","8","CC.1.3.8.A","PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES","FAIL","BLOCKER","concreteChoices=4/4","[0,1,3]","Each choice needs at least two passage-specific content words, and at least three choices need concrete passage details.","852f9e9d0f426ef9","archive-readable-v2-samples"
"852f9e9d0f426ef9:markdown:8","bd09487f5bd7f8d6","8","CC.1.3.8.A","PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED","FAIL","BLOCKER","missing rationale/evidenceLinks","[0,1,2,3,4,5,6]","Each structured choice needs a rationale and at least one evidence link.","852f9e9d0f426ef9","archive-readable-v2-samples"
"852f9e9d0f426ef9:markdown:8","bd09487f5bd7f8d6","8","CC.1.3.8.A","PSSA_MCQ_DISTRACTOR_ROLE_REQUIRED","FAIL","BLOCKER","invalid distractorRole/isCorrect pairing","[0,1,3,4,5,6]","Distractors need a valid role; the correct choice must have distractorRole null.","852f9e9d0f426ef9","archive-readable-v2-samples"
"852f9e9d0f426ef9:markdown:10","a6d5178bfb70e094","8","CC.1.3.8.A","PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES","FAIL","BLOCKER","concreteChoices=0/4","[0,1,2,3,4,5,6]","Each choice needs at least two passage-specific content words, and at least three choices need concrete passage details.","852f9e9d0f426ef9","archive-readable-v2-samples"
