source,module,state,subject,grade,standardCode,standardLabel,skill,strand,itemCount,lessonCount
generated,PSSA,PA,ELA,4,CC.1.4.4.F1,Grammar in Standard English,Grammar,Conventions,2,0
generated,PSSA,PA,ELA,4,CC.1.4.4.F10,Frequently Confused Words in Standard English,Frequently Confused Words,Conventions,0,0
generated,PSSA,PA,ELA,4,CC.1.4.4.F2,Punctuation in Standard English,Punctuation,Conventions,2,0
generated,PSSA,PA,ELA,4,CC.1.4.4.F3,Capitalization in Standard English,Capitalization,Conventions,2,0
generated,PSSA,PA,ELA,4,CC.1.4.4.F4,Sentence Structure in Standard English,Sentence Structure,Conventions,2,0
generated,PSSA,PA,ELA,4,CC.1.4.4.F5,Verb Tense in Standard English,Verb Tense,Conventions,2,0
generated,PSSA,PA,ELA,4,CC.1.4.4.F6,Pronoun Usage in Standard English,Pronoun Usage,Conventions,2,0
generated,PSSA,PA,ELA,4,CC.1.4.4.F7,Commas in Standard English,Commas,Conventions,2,0
generated,PSSA,PA,ELA,4,CC.1.4.4.F8,Apostrophes in Standard English,Apostrophes,Conventions,2,0
generated,PSSA,PA,ELA,4,CC.1.4.4.F9,Subject-Verb Agreement in Standard English,Subject-Verb Agreement,Conventions,2,0
database,PSSA,PA,ELA,4,CC.1.4.4.G,Support opinion writing with reasons and evidence,Supporting Reasons,Writing/Conventions,0,2
database,PSSA,PA,ELA,4,CC.1.4.4.I,Use facts and details to develop writing,Facts and Opinions,Writing/Conventions,0,2
generated,PSSA,PA,ELA,4,CC.1.4.4.S,Text-dependent analysis essay,TDA Writing,Writing,4,0
database,PSSA,PA,ELA,4,CC.1.4.4.S,Use evidence and explanation in text-dependent writing,TDA Evidence and Explanation,Writing/Conventions,0,2
