source,grade,assessmentId,assessmentTitle,questionNo,itemId,standardCode,skill,questionType,difficulty,passageId,hasBackendAnswer
generated,4,generated-pssa-ela-grade-4,Grade 4 PSSA ELA Diagnostic,27,40027,CC.1.2.4.C,Text Structure,MCQ,4,paired,yes
generated,4,generated-pssa-ela-grade-4,Grade 4 PSSA ELA Diagnostic,28,40028,CC.1.2.4.D,Vocabulary,DRAG_DROP,4,paired,yes
generated,4,generated-pssa-ela-grade-4,Grade 4 PSSA ELA Diagnostic,29,40029,CC.1.2.4.B,Inference,MCQ,4,paired,yes
generated,4,generated-pssa-ela-grade-4,Grade 4 PSSA ELA Diagnostic,30,40030,CC.1.2.4.A,Main Idea,MCQ,4,table,yes
generated,4,generated-pssa-ela-grade-4,Grade 4 PSSA ELA Diagnostic,31,40031,CC.1.2.4.B,Inference,MCQ,4,table,yes
generated,4,generated-pssa-ela-grade-4,Grade 4 PSSA ELA Diagnostic,32,40032,CC.1.2.4.C,Text Structure,EBSR,4,table,yes
generated,4,generated-pssa-ela-grade-4,Grade 4 PSSA ELA Diagnostic,33,40033,CC.1.2.4.D,Vocabulary,MCQ,4,table,yes
generated,4,generated-pssa-ela-grade-4,Grade 4 PSSA ELA Diagnostic,34,40034,CC.1.3.4.C,Point of View,DRAG_DROP,4,table,yes
generated,4,generated-pssa-ela-grade-4,Grade 4 PSSA ELA Diagnostic,35,40035,CC.1.2.4.B,Inference,MCQ,4,table,yes
generated,4,generated-pssa-ela-grade-4,Grade 4 PSSA ELA Diagnostic,36,40036,CC.1.2.4.A,Main Idea,HOT_TEXT,4,table,yes
generated,4,generated-pssa-ela-grade-4,Grade 4 PSSA ELA Diagnostic,37,40037,CC.1.2.4.B,Inference,MCQ,4,table,yes
generated,4,generated-pssa-ela-grade-4,Grade 4 PSSA ELA Diagnostic,38,40038,CC.1.2.4.C,Text Structure,MULTI_SELECT,4,table,yes
generated,4,generated-pssa-ela-grade-4,Grade 4 PSSA ELA Diagnostic,39,40039,CC.1.2.4.D,Vocabulary,MCQ,4,table,yes
generated,4,generated-pssa-ela-grade-4,Grade 4 PSSA ELA Diagnostic,40,40040,CC.1.4.4.S,TDA Writing,TDA,4,table,yes
generated,4,generated-pssa-ela-grade-4,Grade 4 PSSA ELA Diagnostic,41,40041,CC.1.3.4.A,Theme,MCQ,4,literary,yes
generated,4,generated-pssa-ela-grade-4,Grade 4 PSSA ELA Diagnostic,42,40042,CC.1.3.4.B,Literary Inference,MCQ,4,literary,yes
generated,4,generated-pssa-ela-grade-4,Grade 4 PSSA ELA Diagnostic,43,40043,CC.1.3.4.C,Setting,MCQ,4,literary,yes
generated,4,generated-pssa-ela-grade-4,Grade 4 PSSA ELA Diagnostic,44,40044,CC.1.3.4.H,Plot Development,MCQ,4,literary,yes
generated,4,generated-pssa-ela-grade-4,Grade 4 PSSA ELA Diagnostic,45,40045,CC.1.3.4.C,Point of View,DRAG_DROP,4,literary,yes
generated,4,generated-pssa-ela-grade-4,Grade 4 PSSA ELA Diagnostic,46,40046,CC.1.3.4.F / CC.1.2.4.F,Figurative Language,MCQ,4,literary,yes
generated,4,generated-pssa-ela-grade-4,Grade 4 PSSA ELA Diagnostic,47,40047,CC.1.3.4.E,Flashback,HOT_TEXT,4,literary,yes
generated,4,generated-pssa-ela-grade-4,Grade 4 PSSA ELA Diagnostic,48,40048,CC.1.3.4.D,Literary Vocabulary,MCQ,4,literary,yes
generated,4,generated-pssa-ela-grade-4,Grade 4 PSSA ELA Diagnostic,49,40049,CC.1.3.4.A,Theme,MULTI_SELECT,4,literary,yes
generated,4,generated-pssa-ela-grade-4,Grade 4 PSSA ELA Diagnostic,50,40050,CC.1.3.4.B,Literary Inference,MCQ,4,literary,yes
generated,4,generated-pssa-ela-grade-4,Grade 4 PSSA ELA Diagnostic,51,40051,CC.1.3.4.C,Setting,MCQ,4,literary,yes
generated,4,generated-pssa-ela-grade-4,Grade 4 PSSA ELA Diagnostic,52,40052,CC.1.3.4.H,Plot Development,MCQ,4,literary,yes
generated,4,generated-pssa-ela-grade-4,Grade 4 PSSA ELA Diagnostic,53,40053,CC.1.4.4.S,TDA Writing,TDA,4,literary,yes
