passageId,title,gradeLevel,wordCount,paragraphCount,uniqueParagraphCount,repeatedParagraphCount,sentenceCount,uniqueSentenceCount,repeatedSentenceCount,uniqueSentenceRatio,repeatedBlocks,result,severity
paired,Two Views of a Community Garden,5,1196,64,10,54,64,10,54,0.1563,4x:the first text the class watches small changes each week | 4x:and learns that careful records help the garden grow in | 4x:the second text neighbors use facts before choosing what to | 4x:do with the empty lot both texts show that people | 4x:can improve a place when they listen to one another | 4x:and use evidence the two texts are different because one | 4x:is told through a student s experience while the other | 4x:explains a community decision in the first text the class | 4x:watches small changes each week and learns that careful records | 3x:help the garden grow in the second text neighbors use | 3x:facts before choosing what to do with the empty lot | 3x:both texts show that people can improve a place when | 3x:they listen to one another and use evidence the two | 3x:texts are different because one is told through a student | 3x:s experience while the other explains a community decision in | 4x:class watches small changes each week and learns that careful | 4x:records help th,FAIL,BLOCKER
table,Designing a Water-Smart Schoolyard,5,1104,72,12,60,69,9,60,0.1304,2x:each design saved water in a different way the rain | 2x:barrel saved the most water but it also had a | 2x:problem during storms students used the numbers in the chart | 2x:to talk about which solution would help the garden most | 2x:the best plan used more than one idea because each | 2x:design had a strength and a challenge the chart helps | 2x:readers see that each design saved water in a different | 2x:way the rain barrel saved the most water but it | 2x:also had a problem during storms students used the numbers | 2x:in the chart to talk about which solution would help | 2x:the garden most the best plan used more than one | 2x:idea because each design had a strength and a challenge | 2x:the chart helps readers see that each design saved water | 2x:in a different way the rain barrel saved the most | 2x:water but it also had a problem during storms students | 2x:used the numbers in the chart to talk about which | 2x:solution would help the garden most the best plan used | 2x:more,FAIL,BLOCKER
literary,The Last Bell Before the Storm,6,1116,32,10,22,59,15,44,0.2542,2x:the project when she had treated every task like a | 2x:checklist and let malik make most of the decisions now | 2x:the storm made each choice feel less like an assignment | 2x:and more like a promise to the people who had | 2x:trusted the class if we hurry we can save the | 2x:sign frames without stepping near the flooded drain malik said | 2x:nora noticed that his voice sounded nervous not careless and,FAIL,BLOCKER
informational,How Wetlands Protect a Watershed,6,1569,83,13,70,81,11,70,0.1358,2x:water soil plants and animals interact in ways that affect | 2x:the whole watershed the passage uses cause and effect structure | 2x:to show that slowing water can reduce erosion improve water | 2x:clarity and protect habitats downstream another section explains a problem | 2x:and solution relationship runoff carries pollutants and wetland plants help | 2x:reduce the amount that reaches creeks technical terms are explained | 2x:through context so readers can understand how filtration sediment nutrients | 2x:and habitat are connected these details develop the central idea | 2x:that wetlands are not empty land they are active natural | 2x:systems that protect water quality scientists describe wetlands as systems | 2x:because water soil plants and animals interact in ways that | 2x:affect the whole watershed the passage uses cause and effect | 2x:structure to show that slowing water can reduce erosion improve | 2x:water clarity and protect habitats downstream another section explains a,FAIL,BLOCKER
paired,Two Views of a Community Garden,6,1253,45,10,35,74,13,61,0.1757,2x:first text uses a reflective narrator so readers see how | 2x:a small classroom project changes the student s understanding of | 2x:responsibility the second text uses a more public informational style | 2x:that weighs evidence before recommending action both texts include people | 2x:making decisions with limited resources but they develop that idea | 2x:differently one emphasizes personal observation while the other emphasizes data | 2x:compromise and community impact a reader can compare the texts | 2x:by asking which details show cooperation which details show obstacles | 2x:and which details show how evidence changes a plan the | 2x:contrast matters because a garden is not presented as a | 2x:simple decoration in both texts the garden becomes a test | 2x:of planning patience and shared responsibility the first text uses | 2x:a reflective narrator so readers see how a small classroom | 2x:project changes the student s understanding of responsibility the second | 2x:text uses a m,FAIL,BLOCKER
table,Designing a Water-Smart Schoolyard,6,1551,68,12,56,110,12,98,0.1091,2x:single perfect design instead it helps readers compare benefits and | 2x:trade offs which is important in an engineering problem students | 2x:also considered maintenance because a design that works for one | 2x:week might fail after several months this long term thinking | 2x:made the investigation more realistic the rain barrel saved the | 2x:most water but the overflow problem showed why data must | 2x:be interpreted instead of copied without analysis by combining two | 2x:solutions the class used evidence from the table and information | 2x:from the passage that connection between prose and data supports | 2x:the final recommendation the chart does not identify a single | 2x:perfect design instead it helps readers compare benefits and trade | 2x:offs which is important in an engineering problem students also | 2x:considered maintenance because a design that works for one week | 2x:might fail after several months this long term thinking made | 2x:the investigation more realistic ,FAIL,BLOCKER
literary,The Last Bell Before the Storm,7,1220,35,10,25,65,15,50,0.2308,2x:the project when she had treated every task like a | 2x:checklist and let malik make most of the decisions now | 2x:the storm made each choice feel less like an assignment | 2x:and more like a promise to the people who had | 2x:trusted the class if we hurry we can save the | 2x:sign frames without stepping near the flooded drain malik said | 2x:nora noticed that his voice sounded nervous not careless and | 2x:that changed the argument between them the courtyard usually loud | 2x:with basketballs and lunch conversations seemed unfamiliar under the low | 2x:clouds that change in setting made the exhibit feel fragile | 2x:and made nora understand why planning mattered when a gust | 2x:lifted the corner of the poster board nora had to | 2x:decide whether to protect the work herself or ask for | 2x:help the decision revealed that courage was not the same | 2x:as pretending not to be afraid by the time a | 2x:teacher reached the courtyard the signs were stacked safely inside | 2x:nora did,FAIL,BLOCKER
informational,How Wetlands Protect a Watershed,7,1763,93,13,80,91,11,80,0.1209,2x:water soil plants and animals interact in ways that affect | 2x:the whole watershed the passage uses cause and effect structure | 2x:to show that slowing water can reduce erosion improve water | 2x:clarity and protect habitats downstream another section explains a problem | 2x:and solution relationship runoff carries pollutants and wetland plants help | 2x:reduce the amount that reaches creeks technical terms are explained | 2x:through context so readers can understand how filtration sediment nutrients | 2x:and habitat are connected these details develop the central idea | 2x:that wetlands are not empty land they are active natural | 2x:systems that protect water quality scientists describe wetlands as systems | 2x:because water soil plants and animals interact in ways that | 2x:affect the whole watershed the passage uses cause and effect | 2x:structure to show that slowing water can reduce erosion improve | 2x:water clarity and protect habitats downstream another section explains a,FAIL,BLOCKER
paired,Two Views of a Community Garden,7,1512,54,10,44,90,13,77,0.1444,2x:first text uses a reflective narrator so readers see how | 2x:a small classroom project changes the student s understanding of | 2x:responsibility the second text uses a more public informational style | 2x:that weighs evidence before recommending action both texts include people | 2x:making decisions with limited resources but they develop that idea | 2x:differently one emphasizes personal observation while the other emphasizes data | 2x:compromise and community impact a reader can compare the texts | 2x:by asking which details show cooperation which details show obstacles | 2x:and which details show how evidence changes a plan the | 2x:contrast matters because a garden is not presented as a | 2x:simple decoration in both texts the garden becomes a test | 2x:of planning patience and shared responsibility the first text uses | 2x:a reflective narrator so readers see how a small classroom | 2x:project changes the student s understanding of responsibility the second | 2x:text uses a m,FAIL,BLOCKER
table,Designing a Water-Smart Schoolyard,7,1769,77,12,65,126,12,114,0.0952,2x:single perfect design instead it helps readers compare benefits and | 2x:trade offs which is important in an engineering problem students | 2x:also considered maintenance because a design that works for one | 2x:week might fail after several months this long term thinking | 2x:made the investigation more realistic the rain barrel saved the | 2x:most water but the overflow problem showed why data must | 2x:be interpreted instead of copied without analysis by combining two | 2x:solutions the class used evidence from the table and information | 2x:from the passage that connection between prose and data supports | 2x:the final recommendation the chart does not identify a single | 2x:perfect design instead it helps readers compare benefits and trade | 2x:offs which is important in an engineering problem students also | 2x:considered maintenance because a design that works for one week | 2x:might fail after several months this long term thinking made | 2x:the investigation more realistic ,FAIL,BLOCKER
literary,The Last Bell Before the Storm,8,1350,1,1,0,72,16,56,0.2222,2x:the project when she had treated every task like a | 2x:checklist and let malik make most of the decisions now | 2x:the storm made each choice feel less like an assignment | 2x:and more like a promise to the people who had | 2x:trusted the class if we hurry we can save the | 2x:sign frames without stepping near the flooded drain malik said | 2x:nora noticed that his voice sounded nervous not careless and | 2x:that changed the argument between them the courtyard usually loud | 2x:with basketballs and lunch conversations seemed unfamiliar under the low | 2x:clouds that change in setting made the exhibit feel fragile | 2x:and made nora understand why planning mattered when a gust | 2x:lifted the corner of the poster board nora had to | 2x:decide whether to protect the work herself or ask for | 2x:help the decision revealed that courage was not the same | 2x:as pretending not to be afraid by the time a | 2x:teacher reached the courtyard the signs were stacked safely inside | 2x:nora did,FAIL,BLOCKER
informational,How Wetlands Protect a Watershed,8,1957,103,13,90,101,11,90,0.1089,2x:water soil plants and animals interact in ways that affect | 2x:the whole watershed the passage uses cause and effect structure | 2x:to show that slowing water can reduce erosion improve water | 2x:clarity and protect habitats downstream another section explains a problem | 2x:and solution relationship runoff carries pollutants and wetland plants help | 2x:reduce the amount that reaches creeks technical terms are explained | 2x:through context so readers can understand how filtration sediment nutrients | 2x:and habitat are connected these details develop the central idea | 2x:that wetlands are not empty land they are active natural | 2x:systems that protect water quality scientists describe wetlands as systems | 2x:because water soil plants and animals interact in ways that | 2x:affect the whole watershed the passage uses cause and effect | 2x:structure to show that slowing water can reduce erosion improve | 2x:water clarity and protect habitats downstream another section explains a,FAIL,BLOCKER
paired,Two Views of a Community Garden,8,1700,2,2,0,102,15,87,0.1471,2x:first text uses a reflective narrator so readers see how | 2x:a small classroom project changes the student s understanding of | 2x:responsibility the second text uses a more public informational style | 2x:that weighs evidence before recommending action both texts include people | 2x:making decisions with limited resources but they develop that idea | 2x:differently one emphasizes personal observation while the other emphasizes data | 2x:compromise and community impact a reader can compare the texts | 2x:by asking which details show cooperation which details show obstacles | 2x:and which details show how evidence changes a plan the | 2x:contrast matters because a garden is not presented as a | 2x:simple decoration in both texts the garden becomes a test | 2x:of planning patience and shared responsibility the first text uses | 2x:a reflective narrator so readers see how a small classroom | 2x:project changes the student s understanding of responsibility the second | 2x:text uses a m,FAIL,BLOCKER
table,Designing a Water-Smart Schoolyard,8,1963,85,12,73,140,12,128,0.0857,2x:single perfect design instead it helps readers compare benefits and | 2x:trade offs which is important in an engineering problem students | 2x:also considered maintenance because a design that works for one | 2x:week might fail after several months this long term thinking | 2x:made the investigation more realistic the rain barrel saved the | 2x:most water but the overflow problem showed why data must | 2x:be interpreted instead of copied without analysis by combining two | 2x:solutions the class used evidence from the table and information | 2x:from the passage that connection between prose and data supports | 2x:the final recommendation the chart does not identify a single | 2x:perfect design instead it helps readers compare benefits and trade | 2x:offs which is important in an engineering problem students also | 2x:considered maintenance because a design that works for one week | 2x:might fail after several months this long term thinking made | 2x:the investigation more realistic ,FAIL,BLOCKER
informational,How Wetlands Protect a Watershed,5,1094,64,12,52,62,10,52,0.1613,2x:and discussed how each choice affected the larger purpose of | 2x:the text one important detail led to another helping readers | 2x:see relationships among events ideas causes and results the author | 2x:uses precise language so readers can follow the development of | 2x:the central idea from beginning to end as the passage | 2x:continues new information deepens the reader s understanding and connects | 2x:back to the original problem students examined details carefully compared | 2x:evidence and discussed how each choice affected the larger purpose | 2x:of the text one important detail led to another helping | 2x:readers see relationships among events ideas causes and results the | 2x:author uses precise language so readers can follow the development | 2x:of the central idea from beginning to end as the | 2x:passage continues new information deepens the reader s understanding and | 2x:connects back to the original problem students examined details carefully | 2x:compared evidence a,FAIL,BLOCKER
literary,The Last Bell Before the Storm,5,908,51,9,42,51,9,42,0.1765,2x:and discussed how each choice affected the larger purpose of | 2x:the text one important detail led to another helping readers | 2x:see relationships among events ideas causes and results the author | 2x:uses precise language so readers can follow the development of | 2x:the central idea from beginning to end as the passage | 2x:continues new information deepens the reader s understanding and connects | 2x:back to the original problem students examined details carefully compared | 2x:evidence and discussed how each choice affected the larger purpose | 2x:of the text one important detail led to another helping,FAIL,BLOCKER
paired,Two Views of a Community Garden,5,1187,67,10,57,67,10,57,0.1493,2x:students examined details carefully compared evidence and discussed how each | 2x:choice affected the larger purpose of the text one important | 2x:detail led to another helping readers see relationships among events | 2x:ideas causes and results the author uses precise language so | 2x:readers can follow the development of the central idea from | 2x:beginning to end as the passage continues new information deepens | 2x:the reader s understanding and connects back to the original | 2x:problem students examined details carefully compared evidence and discussed how | 2x:each choice affected the larger purpose of the text one | 2x:important detail led to another helping readers see relationships among | 2x:events ideas causes and results the author uses precise language | 2x:so readers can follow the development of the central idea | 2x:from beginning to end as the passage continues new information | 2x:deepens the reader s understanding and connects back to the | 2x:original problem s,FAIL,BLOCKER
table,Designing a Water-Smart Schoolyard,5,1110,66,12,54,63,9,54,0.1429,2x:and discussed how each choice affected the larger purpose of | 2x:the text one important detail led to another helping readers | 2x:see relationships among events ideas causes and results the author | 2x:uses precise language so readers can follow the development of | 2x:the central idea from beginning to end as the passage | 2x:continues new information deepens the reader s understanding and connects | 2x:back to the original problem students examined details carefully compared | 2x:evidence and discussed how each choice affected the larger purpose | 2x:of the text one important detail led to another helping | 2x:readers see relationships among events ideas causes and results the | 2x:author uses precise language so readers can follow the development | 2x:of the central idea from beginning to end as the | 2x:passage continues new information deepens the reader s understanding and | 2x:connects back to the original problem students examined details carefully | 2x:compared evidence a,FAIL,BLOCKER
smoke-placeholder-passage,Smoke Placeholder Passage,5,106,1,1,0,6,6,0,1,,PASS,INFO
informational,How Wetlands Protect a Watershed,6,1569,83,13,70,81,11,70,0.1358,2x:water soil plants and animals interact in ways that affect | 2x:the whole watershed the passage uses cause and effect structure | 2x:to show that slowing water can reduce erosion improve water | 2x:clarity and protect habitats downstream another section explains a problem | 2x:and solution relationship runoff carries pollutants and wetland plants help | 2x:reduce the amount that reaches creeks technical terms are explained | 2x:through context so readers can understand how filtration sediment nutrients | 2x:and habitat are connected these details develop the central idea | 2x:that wetlands are not empty land they are active natural | 2x:systems that protect water quality scientists describe wetlands as systems | 2x:because water soil plants and animals interact in ways that | 2x:affect the whole watershed the passage uses cause and effect | 2x:structure to show that slowing water can reduce erosion improve | 2x:water clarity and protect habitats downstream another section explains a,FAIL,BLOCKER
literary,The Last Bell Before the Storm,6,1116,32,10,22,59,15,44,0.2542,2x:the project when she had treated every task like a | 2x:checklist and let malik make most of the decisions now | 2x:the storm made each choice feel less like an assignment | 2x:and more like a promise to the people who had | 2x:trusted the class if we hurry we can save the | 2x:sign frames without stepping near the flooded drain malik said | 2x:nora noticed that his voice sounded nervous not careless and,FAIL,BLOCKER
paired,Two Views of a Community Garden,6,1253,45,10,35,74,13,61,0.1757,2x:first text uses a reflective narrator so readers see how | 2x:a small classroom project changes the student s understanding of | 2x:responsibility the second text uses a more public informational style | 2x:that weighs evidence before recommending action both texts include people | 2x:making decisions with limited resources but they develop that idea | 2x:differently one emphasizes personal observation while the other emphasizes data | 2x:compromise and community impact a reader can compare the texts | 2x:by asking which details show cooperation which details show obstacles | 2x:and which details show how evidence changes a plan the | 2x:contrast matters because a garden is not presented as a | 2x:simple decoration in both texts the garden becomes a test | 2x:of planning patience and shared responsibility the first text uses | 2x:a reflective narrator so readers see how a small classroom | 2x:project changes the student s understanding of responsibility the second | 2x:text uses a m,FAIL,BLOCKER
table,Designing a Water-Smart Schoolyard,6,1551,68,12,56,110,12,98,0.1091,2x:single perfect design instead it helps readers compare benefits and | 2x:trade offs which is important in an engineering problem students | 2x:also considered maintenance because a design that works for one | 2x:week might fail after several months this long term thinking | 2x:made the investigation more realistic the rain barrel saved the | 2x:most water but the overflow problem showed why data must | 2x:be interpreted instead of copied without analysis by combining two | 2x:solutions the class used evidence from the table and information | 2x:from the passage that connection between prose and data supports | 2x:the final recommendation the chart does not identify a single | 2x:perfect design instead it helps readers compare benefits and trade | 2x:offs which is important in an engineering problem students also | 2x:considered maintenance because a design that works for one week | 2x:might fail after several months this long term thinking made | 2x:the investigation more realistic ,FAIL,BLOCKER
informational,How Wetlands Protect a Watershed,6,1569,83,13,70,81,11,70,0.1358,2x:water soil plants and animals interact in ways that affect | 2x:the whole watershed the passage uses cause and effect structure | 2x:to show that slowing water can reduce erosion improve water | 2x:clarity and protect habitats downstream another section explains a problem | 2x:and solution relationship runoff carries pollutants and wetland plants help | 2x:reduce the amount that reaches creeks technical terms are explained | 2x:through context so readers can understand how filtration sediment nutrients | 2x:and habitat are connected these details develop the central idea | 2x:that wetlands are not empty land they are active natural | 2x:systems that protect water quality scientists describe wetlands as systems | 2x:because water soil plants and animals interact in ways that | 2x:affect the whole watershed the passage uses cause and effect | 2x:structure to show that slowing water can reduce erosion improve | 2x:water clarity and protect habitats downstream another section explains a,FAIL,BLOCKER
literary,The Last Bell Before the Storm,6,1116,32,10,22,59,15,44,0.2542,2x:the project when she had treated every task like a | 2x:checklist and let malik make most of the decisions now | 2x:the storm made each choice feel less like an assignment | 2x:and more like a promise to the people who had | 2x:trusted the class if we hurry we can save the | 2x:sign frames without stepping near the flooded drain malik said | 2x:nora noticed that his voice sounded nervous not careless and,FAIL,BLOCKER
paired,Two Views of a Community Garden,6,1253,45,10,35,74,13,61,0.1757,2x:first text uses a reflective narrator so readers see how | 2x:a small classroom project changes the student s understanding of | 2x:responsibility the second text uses a more public informational style | 2x:that weighs evidence before recommending action both texts include people | 2x:making decisions with limited resources but they develop that idea | 2x:differently one emphasizes personal observation while the other emphasizes data | 2x:compromise and community impact a reader can compare the texts | 2x:by asking which details show cooperation which details show obstacles | 2x:and which details show how evidence changes a plan the | 2x:contrast matters because a garden is not presented as a | 2x:simple decoration in both texts the garden becomes a test | 2x:of planning patience and shared responsibility the first text uses | 2x:a reflective narrator so readers see how a small classroom | 2x:project changes the student s understanding of responsibility the second | 2x:text uses a m,FAIL,BLOCKER
table,Designing a Water-Smart Schoolyard,6,1551,68,12,56,110,12,98,0.1091,2x:single perfect design instead it helps readers compare benefits and | 2x:trade offs which is important in an engineering problem students | 2x:also considered maintenance because a design that works for one | 2x:week might fail after several months this long term thinking | 2x:made the investigation more realistic the rain barrel saved the | 2x:most water but the overflow problem showed why data must | 2x:be interpreted instead of copied without analysis by combining two | 2x:solutions the class used evidence from the table and information | 2x:from the passage that connection between prose and data supports | 2x:the final recommendation the chart does not identify a single | 2x:perfect design instead it helps readers compare benefits and trade | 2x:offs which is important in an engineering problem students also | 2x:considered maintenance because a design that works for one week | 2x:might fail after several months this long term thinking made | 2x:the investigation more realistic ,FAIL,BLOCKER
informational,How Wetlands Protect a Watershed,6,1569,83,13,70,81,11,70,0.1358,2x:water soil plants and animals interact in ways that affect | 2x:the whole watershed the passage uses cause and effect structure | 2x:to show that slowing water can reduce erosion improve water | 2x:clarity and protect habitats downstream another section explains a problem | 2x:and solution relationship runoff carries pollutants and wetland plants help | 2x:reduce the amount that reaches creeks technical terms are explained | 2x:through context so readers can understand how filtration sediment nutrients | 2x:and habitat are connected these details develop the central idea | 2x:that wetlands are not empty land they are active natural | 2x:systems that protect water quality scientists describe wetlands as systems | 2x:because water soil plants and animals interact in ways that | 2x:affect the whole watershed the passage uses cause and effect | 2x:structure to show that slowing water can reduce erosion improve | 2x:water clarity and protect habitats downstream another section explains a,FAIL,BLOCKER
literary,The Last Bell Before the Storm,6,1116,32,10,22,59,15,44,0.2542,2x:the project when she had treated every task like a | 2x:checklist and let malik make most of the decisions now | 2x:the storm made each choice feel less like an assignment | 2x:and more like a promise to the people who had | 2x:trusted the class if we hurry we can save the | 2x:sign frames without stepping near the flooded drain malik said | 2x:nora noticed that his voice sounded nervous not careless and,FAIL,BLOCKER
paired,Two Views of a Community Garden,6,1253,45,10,35,74,13,61,0.1757,2x:first text uses a reflective narrator so readers see how | 2x:a small classroom project changes the student s understanding of | 2x:responsibility the second text uses a more public informational style | 2x:that weighs evidence before recommending action both texts include people | 2x:making decisions with limited resources but they develop that idea | 2x:differently one emphasizes personal observation while the other emphasizes data | 2x:compromise and community impact a reader can compare the texts | 2x:by asking which details show cooperation which details show obstacles | 2x:and which details show how evidence changes a plan the | 2x:contrast matters because a garden is not presented as a | 2x:simple decoration in both texts the garden becomes a test | 2x:of planning patience and shared responsibility the first text uses | 2x:a reflective narrator so readers see how a small classroom | 2x:project changes the student s understanding of responsibility the second | 2x:text uses a m,FAIL,BLOCKER
table,Designing a Water-Smart Schoolyard,6,1551,68,12,56,110,12,98,0.1091,2x:single perfect design instead it helps readers compare benefits and | 2x:trade offs which is important in an engineering problem students | 2x:also considered maintenance because a design that works for one | 2x:week might fail after several months this long term thinking | 2x:made the investigation more realistic the rain barrel saved the | 2x:most water but the overflow problem showed why data must | 2x:be interpreted instead of copied without analysis by combining two | 2x:solutions the class used evidence from the table and information | 2x:from the passage that connection between prose and data supports | 2x:the final recommendation the chart does not identify a single | 2x:perfect design instead it helps readers compare benefits and trade | 2x:offs which is important in an engineering problem students also | 2x:considered maintenance because a design that works for one week | 2x:might fail after several months this long term thinking made | 2x:the investigation more realistic ,FAIL,BLOCKER
informational,How Wetlands Protect a Watershed,6,1569,83,13,70,81,11,70,0.1358,2x:water soil plants and animals interact in ways that affect | 2x:the whole watershed the passage uses cause and effect structure | 2x:to show that slowing water can reduce erosion improve water | 2x:clarity and protect habitats downstream another section explains a problem | 2x:and solution relationship runoff carries pollutants and wetland plants help | 2x:reduce the amount that reaches creeks technical terms are explained | 2x:through context so readers can understand how filtration sediment nutrients | 2x:and habitat are connected these details develop the central idea | 2x:that wetlands are not empty land they are active natural | 2x:systems that protect water quality scientists describe wetlands as systems | 2x:because water soil plants and animals interact in ways that | 2x:affect the whole watershed the passage uses cause and effect | 2x:structure to show that slowing water can reduce erosion improve | 2x:water clarity and protect habitats downstream another section explains a,FAIL,BLOCKER
literary,The Last Bell Before the Storm,6,1116,32,10,22,59,15,44,0.2542,2x:the project when she had treated every task like a | 2x:checklist and let malik make most of the decisions now | 2x:the storm made each choice feel less like an assignment | 2x:and more like a promise to the people who had | 2x:trusted the class if we hurry we can save the | 2x:sign frames without stepping near the flooded drain malik said | 2x:nora noticed that his voice sounded nervous not careless and,FAIL,BLOCKER
paired,Two Views of a Community Garden,6,1253,45,10,35,74,13,61,0.1757,2x:first text uses a reflective narrator so readers see how | 2x:a small classroom project changes the student s understanding of | 2x:responsibility the second text uses a more public informational style | 2x:that weighs evidence before recommending action both texts include people | 2x:making decisions with limited resources but they develop that idea | 2x:differently one emphasizes personal observation while the other emphasizes data | 2x:compromise and community impact a reader can compare the texts | 2x:by asking which details show cooperation which details show obstacles | 2x:and which details show how evidence changes a plan the | 2x:contrast matters because a garden is not presented as a | 2x:simple decoration in both texts the garden becomes a test | 2x:of planning patience and shared responsibility the first text uses | 2x:a reflective narrator so readers see how a small classroom | 2x:project changes the student s understanding of responsibility the second | 2x:text uses a m,FAIL,BLOCKER
